created_at,entry_id,field1,field2,field3,field4,latitude,longitude,elevation,status
2023-02-16T23:11:50-06:00,260,11716.66602,4890616.50000,1.23855,-19.50000,,,,
2023-02-16T23:13:58-06:00,261,11933.33301,4898550.00000,1.21804,-19.50000,,,,
2023-02-16T23:16:06-06:00,262,11383.33301,4900850.00000,1.27749,-19.50000,,,,
2023-02-16T23:18:13-06:00,263,11166.66602,4899700.00000,1.30197,-19.50000,,,,
2023-02-16T23:20:21-06:00,264,11250.00000,4899250.00000,1.29221,-19.50000,,,,
2023-02-16T23:22:29-06:00,265,11550.00000,4893250.00000,1.25710,-19.75000,,,,
2023-02-16T23:24:37-06:00,266,12016.66602,4901000.00000,1.21020,-19.50000,,,,
2023-02-16T23:26:44-06:00,267,11266.66602,4899900.00000,1.29047,-19.50000,,,,
2023-02-16T23:28:52-06:00,268,11450.00000,4899300.00000,1.26965,-19.50000,,,,
2023-02-16T23:31:00-06:00,269,11566.66602,4892066.50000,1.25499,-19.50000,,,,
2023-02-16T23:33:07-06:00,270,11383.33301,4910000.00000,1.27987,-19.50000,,,,
2023-02-16T23:35:15-06:00,271,11733.33301,4899366.50000,1.23901,-19.50000,,,,
2023-02-16T23:37:23-06:00,272,12000.00000,4900666.50000,1.21179,-19.50000,,,,
2023-02-16T23:39:31-06:00,273,11766.66602,4900616.50000,1.23581,-19.75000,,,,
2023-02-16T23:41:38-06:00,274,11833.33301,4910450.00000,1.23132,-19.50000,,,,
2023-02-16T23:43:46-06:00,275,11983.33301,4980066.50000,1.23314,-19.50000,,,,
2023-02-16T23:45:54-06:00,276,11200.00000,4913116.50000,1.30165,-19.50000,,,,
2023-02-16T23:48:02-06:00,277,11200.00000,4901783.00000,1.29865,-19.50000,,,,
2023-02-16T23:50:09-06:00,278,11666.66602,4889416.50000,1.24356,-19.25000,,,,
2023-02-16T23:52:17-06:00,279,11216.66602,4890716.50000,1.29379,-19.50000,,,,
2023-02-16T23:54:25-06:00,280,11700.00000,4919750.00000,1.24771,-19.50000,,,,
2023-02-16T23:56:32-06:00,281,11583.33301,4829983.00000,1.23728,-19.50000,,,,
2023-02-16T23:58:40-06:00,282,11266.66602,4889633.00000,1.28776,-19.50000,,,,
2023-02-17T00:00:48-06:00,283,11166.66602,4900366.50000,1.30215,-19.50000,,,,
2023-02-17T00:02:56-06:00,284,11083.33301,4890966.50000,1.30942,-19.50000,,,,
2023-02-17T00:05:03-06:00,285,11616.66602,4890100.00000,1.24908,-19.50000,,,,
2023-02-17T00:07:11-06:00,286,11866.66602,4889333.00000,1.22258,-19.50000,,,,
2023-02-17T00:09:19-06:00,287,11650.00000,4893216.50000,1.24630,-19.75000,,,,
2023-02-17T00:11:27-06:00,288,11733.33301,4893450.00000,1.23751,-19.75000,,,,
2023-02-17T00:13:34-06:00,289,11683.33301,4901116.50000,1.24475,-19.75000,,,,
2023-02-17T00:15:42-06:00,290,11600.00000,4899666.50000,1.25332,-19.50000,,,,
2023-02-17T00:17:50-06:00,291,11366.66602,4899533.00000,1.27902,-19.50000,,,,
2023-02-17T00:19:57-06:00,292,11300.00000,4941050.00000,1.29747,-19.75000,,,,
2023-02-17T00:22:05-06:00,293,11900.00000,4901366.50000,1.22215,-19.50000,,,,
